job_title,salary_from,salary_to,currency,company,main_location,skill_tag1,skill_tag2,skill_tag3,is_multi_location,is_fully_remote,link
MLOps Engineer,16 800,21 000,PLN,ITFS,Wrocław,Python,Git,LlamaIndex,True,True,https://justjoin.it/job-offer/itfs-mlops-engineer-wroclaw-ai
Inżynier wsparcia sprzedaży (AWS),15 000,20 000,PLN,Trek2Summit Sp. z o.o.,Warszawa,Amazon Web Services,Cloud Computing,IT Security,False,False,https://justjoin.it/job-offer/trek2summit-sp-z-o-o--inzynier-wsparcia-sprzedazy-aws--warszawa-other
DevOps Engineer (Azure),25 000,31 000,PLN,Connectis,Warszawa,Windows Server,Jenkins,CI/CD,False,False,https://justjoin.it/job-offer/connectis-devops-engineer-azure--warszawa-devops-b87d3f79
Data Science Specialist,25 000,33 000,PLN,Connectis,Warszawa,AI,Data Science,,True,True,https://justjoin.it/job-offer/connectis-data-science-specialist-warszawa-data
Tech Lead Fullstack Developer (Java + Angular),22 000,30 000,PLN,Neontri,Wrocław,Java,Angular,Spring,True,True,https://justjoin.it/job-offer/neontri-tech-lead-fullstack-developer-java-angular--wroclaw-javascript-2a0d806b
Mid/Senior Frontend Developer,15 000,20 000,PLN,OpsTalent,Wrocław,Team Player,Communication,RESTful API,False,False,https://justjoin.it/job-offer/opstalent-mid-senior-frontend-developer-wroclaw-javascript
Mid Python Developer,9 600,14 400,PLN,iMakeable,Wrocław,English,Python,AWS,True,True,https://justjoin.it/job-offer/imakeable-mid-python-developer-wroclaw-python
Manual/QA Tester,15 000,19 000,PLN,Handsoncode Sp. z o.o.,Gdynia,JavaScript,SDLC,CI,True,True,https://justjoin.it/job-offer/handsoncode-sp-z-o-o--manual-qa-tester-gdynia-testing
Project Manager,8 000,13 000,PLN,Primotly,Warszawa,Agile,English,,True,True,https://justjoin.it/job-offer/primotly-project-manager-warszawa-pm
Full Stack Developer,18 480,21 840,PLN,Holisticon Connect,Wrocław,TypeScript,,,True,True,https://justjoin.it/job-offer/holisticon-connect-full-stack-developer-wroclaw-net
Solution Architect,28 000,35 000,PLN,Pwrteams,Warszawa,AWS,Architecture,SOA,True,True,https://justjoin.it/job-offer/pwrteams-solution-architect-warszawa-architecture
Software Architect,32 500,35 000,PLN,LeoVegas,Warszawa,Event-Driven Architecture,Java,Enterprise,False,False,https://justjoin.it/job-offer/leovegas-domain-architect-warszawa-architecture-fddab2a4
Manual/Automation Tester - Reporting,19 000,28 000,PLN,LeoVegas,Warszawa,Java,Jenkins,wiremock,False,False,https://justjoin.it/job-offer/leovegas-manual-automation-tester---reporting-warszawa-java
UI Developer,14 000,20 000,PLN,Relock,Toruń,UX/UI,HTML5,JavaScript,True,True,https://justjoin.it/job-offer/relock-ui-developer-torun-ux
Senior Frontend Engineer (React/Vue),20 800,25 900,PLN,Upside,Kraków,Vue.js,React,GraphQL,False,False,https://justjoin.it/job-offer/upside-senior-frontend-engineer-react-vue--krakow-javascript-d374819a
Pyspark Developer,18 480,21 840,PLN,Link Group,Warszawa,Data,Apache Spark,PySpark,True,True,https://justjoin.it/job-offer/link-group-pyspark-developer-warszawa-python
Frontend Developer,14 000,20 000,PLN,Relock,Toruń,JavaScript,,,True,True,https://justjoin.it/job-offer/relock-frontend-developer-torun-javascript
Integration Developer (TIBCO BA),16 800,20 160,PLN,Link Group,Warszawa,Tibco,Test Automation,,True,True,https://justjoin.it/job-offer/link-group-integration-developer-tibco-ba--warszawa-java
FullStack Developer,14 000,21 000,PLN,Relock,Toruń,JavaScript,React,UX/UI,True,True,https://justjoin.it/job-offer/relock-fullstack-developer-torun-javascript
Senior Python Developer,15 000,26 600,PLN,Relock,Toruń,Python,Backend,Go,True,True,https://justjoin.it/job-offer/relock-senior-python-developer-torun-python
"Manager, Machine Learning (Ads Machine Learning Team)",14 200,19 690,PLN,Allegro,Warszawa,English,Machine Learning,Google Cloud Platform,True,False,https://justjoin.it/job-offer/allegro-manager-machine-learning-ads-machine-learning-team--warszawa-ai
IT Security Specialist (Cloud Security),14 200,19 690,PLN,Allegro,Warszawa,Cloud,Azure,Google Cloud Platform,False,False,https://justjoin.it/job-offer/allegro-it-security-specialist-cloud-security--warszawa-security
Python Software Engineer 2,14 200,19 690,PLN,Allegro,Poznań,English,Python,CI/CD,False,False,https://justjoin.it/job-offer/allegro-python-software-engineer-2-poznan-python
Tester Manualny,8 400,13 440,PLN,7N,Łódź,Jira,Confluence,Gherkin,False,True,https://justjoin.it/job-offer/7n-tester-manualny-lodz-testing
QA Engineer,23 520,27 720,PLN,emagine Polska,Warszawa,TypeScript,Git,REST API,False,True,https://justjoin.it/job-offer/emagine-polska-qa-engineer-warszawa-testing
iOS Developer (part-time: 2h/week),480,640,,Experis Manpower Group,Warszawa,English,Swift,XCode,False,True,https://justjoin.it/job-offer/experis-manpower-group-ios-developer-part-time-2h-week--warszawa-mobile-9324a6b6
Senior Java Developer with Angular,21 840,26 880,PLN,ITFS,Warszawa,Finance / banking,Angular,Java,False,False,https://justjoin.it/job-offer/itfs-senior-java-developer-with-angular-warszawa-java
Analityk Systemowo-Biznesowy do obszaru Hurtowni Danych ze znajomością SQL,12 600,16 800,PLN,Upvanta,Wrocław,Data,SQL,Git,False,True,https://justjoin.it/job-offer/upvanta-analityk-systemowo-biznesowy-do-obszaru-hurtowni-danych-ze-znajomoscia-sql-wroclaw-analytics
PHP Developer,15 000,22 000,PLN,Square One,Wrocław,PHP,Symfony,SQL,True,True,https://justjoin.it/job-offer/square-one-php-developer-wroclaw-php
Senior Python Developer,100,130,,Team Connect,Warszawa,SQLAlchemy,Python 3.x,pytest,False,False,https://justjoin.it/job-offer/team-connect-senior-python-developer-warszawa-python-b87a5750
SQL Server Database Administrator,16 500,18 500,PLN,Link Group,Warszawa,Database,SQL,,True,True,https://justjoin.it/job-offer/link-group-sql-server-database-administrator-warszawa-data
QA Engineer,16 000,17 850,PLN,co.brick,Gliwice,Testing,Appium,API Testing,False,True,https://justjoin.it/job-offer/co-brick-qa-engineer-gliwice-testing
Quality Assurance Specialist,15 000,19 000,PLN,blau direkt,Kraków,Testing,Automated Testing,,True,True,https://justjoin.it/job-offer/blau-direkt-quality-assurance-specialist-krakow-testing
(Cybersecurity) .Net Developer,19 000,21 000,PLN,DCV Technologies,Kraków,MsSQL,C# .NET Framework,Angular,False,False,https://justjoin.it/job-offer/dcv-technologies--cybersecurity-net-developer-krakow-net
PHP Developer (Spryker),9 200,18 400,PLN,UNIVIO,Wrocław,Spryker,Symfony,RabbitMQ,True,True,https://justjoin.it/job-offer/univio-php-developer-spryker--wroclaw-php
Project/Program Manager (Cybersecurity),21 000,25 000,PLN,Neontri,Warszawa,Project Management,Jira,Agile,False,False,https://justjoin.it/job-offer/neontri-project-program-manager-cybersecurity--warszawa-security
Java Tech Lead,21 000,27 000,PLN,Tooploox Sp. z o.o.,Wrocław,Java,Spring Boot,NoSQL,True,False,https://justjoin.it/job-offer/tooploox-sp-z-o-o--java-tech-lead-wroclaw-java
Senior Software Engineer,20 000,25 000,PLN,HSBC Service Delivery,Kraków,Java,Data Lake,DevOps,False,False,https://justjoin.it/job-offer/hsbc-service-delivery-senior-software-engineer-krakow-java
Junior IT Project Manager,6 000,8 000,PLN,mITp,Warszawa,Analytical Thinking,English,Team Player,False,False,https://justjoin.it/job-offer/mitp-junior-it-project-manager-warszawa-pm
Senior iOS Developer,22 000,24 000,PLN,Avenga,Warszawa,Push Notifications,Core Data,Swift,False,False,https://justjoin.it/job-offer/avenga-senior-ios-developer-warszawa-mobile
Business Analyst,9 500,17 850,PLN,Jit Team,Warszawa,Business Analysis,,,True,True,https://justjoin.it/job-offer/jit-team-business-analyst-warszawa-analytics-e722f592
Administrator Windows,20 000,22 000,PLN,Avenga,Warszawa,Windows Server,Windows,Active Directory,False,False,https://justjoin.it/job-offer/avenga-administrator-windows-warszawa-admin
Senior/Lead JavaScript Developer,18 480,29 400,PLN,Spyrosoft,Warszawa,React,TypeScript,Node.js,False,False,https://justjoin.it/job-offer/spyrosoft-senior-lead-javascript-developer-warszawa-javascript
Data Engineer,15 000,26 000,PLN,Devopsbay,Gdańsk,SQL,Databricks,Azure Data Lake,False,False,https://justjoin.it/job-offer/devopsbay-data-engineer-gdansk-data
Java Developer,24 215,25 885,PLN,ITLT,Warszawa,Azure,Java,,False,False,https://justjoin.it/job-offer/itlt-java-developer-warszawa-java-eda0fd28
Back-end Developer,15 000,20 000,PLN,WebWave,Warszawa,Spring,Git,Grails,False,False,https://justjoin.it/job-offer/webwave-back-end-developer-warszawa-java-8cb68095
Senior Product Designer,15 000,23 000,PLN,intent,Warszawa,Figma,English,,True,True,https://justjoin.it/job-offer/intent-senior-product-designer-warszawa-ux
Data Engineer,26 000,30 000,PLN,Hard Rock Digital,Poland (Remote),SQL,Snowflake,AWS,True,True,https://justjoin.it/job-offer/hard-rock-digital-data-engineer-poland-remote--data
Architekt Korporacyjny,20 000,30 000,PLN,Jit Team,Warszawa,Enterprise Architect,Jira,TOGAF,True,False,https://justjoin.it/job-offer/jit-team-architekt-korporacyjny-warszawa-architecture
Senior SAP ABAP Developer,27 000,34 000,PLN,CSHARK,Wrocław,SAP ABAP,SAP,ABAP OO,True,True,https://justjoin.it/job-offer/cshark-senior-sap-abap-developer-wroclaw-other
ETL Developer,20 000,28 500,PLN,Infinite Services,Warszawa,ETL,SQL,Python,True,True,https://justjoin.it/job-offer/infinite-services-etl-developer-warszawa-data
Java Developer,15 000,21 500,PLN,Neontri,Warszawa,Spring Boot,Spring,JUnit,True,False,https://justjoin.it/job-offer/neontri-java-developer-warszawa-java
Java Software Engineer,16 800,25 200,PLN,Cognizant,Warszawa,Spring Boot,Spring,,True,True,https://justjoin.it/job-offer/cognizant-java-software-engineer-warszawa-java
Tech Lead Fullstack Developer (Java + Angular),22 000,30 000,PLN,Neontri,Wrocław,Java,Angular,Spock,True,True,https://justjoin.it/job-offer/neontri-tech-lead-fullstack-developer-java-angular--wroclaw-java
CX Consultant,31 920,35 280,PLN,7N,Warszawa,CX,Genesys Cloud,,False,False,https://justjoin.it/job-offer/7n-cx-consultant-warszawa-other
DevOps/Cloud/Security Engineer with German,16 800,30 240,PLN,Kyotu Technology,Wrocław,German,DevOps,,True,True,https://justjoin.it/job-offer/kyotu-technology-devops-cloud-security-engineer-with-german-wroclaw-devops
Full-Stack Developer,13 000,29 000,PLN,BNY,Wrocław,JavaScript,Angular,TypeScript,False,False,https://justjoin.it/job-offer/bny-full-stack-developer-wroclaw-javascript
IT Technical L2/L3 Support,10 000,14 000,PLN,Remodevs,Warszawa,Mobile App Testing,Testing,Mobile Apps,False,False,https://justjoin.it/job-offer/remodevs-it-technical-l2-l3-support-warszawa-support
"Associate Director, Software Engineer",20 000,29 000,PLN,S&P Global,Sopot,Python,C#,Google Cloud,True,False,https://justjoin.it/job-offer/s-p-global-associate-director-software-engineer-sopot-python-a87bcaaa
Senior Data Engineer,27 720,32 760,PLN,Pragmile,Warszawa,Git,PySpark,Python,False,False,https://justjoin.it/job-offer/pragmile-senior-data-engineer-warszawa-data
Backend Developer,18 480,20 160,PLN,Holisticon Connect,Wrocław,MS SQL,ASP.NET Core,,True,True,https://justjoin.it/job-offer/holisticon-connect-backend-developer-wroclaw-net
Senior Python Engineer,27 720,32 760,PLN,Pragmile,Warszawa,Docker,Python,Django,False,False,https://justjoin.it/job-offer/pragmile-seniort-python-engineer-warszawa-python
Senior Java Developer,27 720,32 760,PLN,Pragmile,Warszawa,Unit Testing,Java 17,AWS,False,False,https://justjoin.it/job-offer/pragmile-senior-java-developer-warszawa-java-efb4456b
.NET Developer,12 000,15 000,PLN,X-ONE,Poznań,ASP.NET MVC,C#,Entity,False,False,https://justjoin.it/job-offer/x-one--net-developer-poznan-net-ce1b43de
Backend Developer (Nest.js),10 000,18 000,PLN,EPC Network,Warszawa,Queuing Systems,TypeScript,,True,True,https://justjoin.it/job-offer/epc-network-backend-developer-nest-js--warszawa-javascript
Senior JavaScript Engineer,27 720,32 760,PLN,Pragmile,Warszawa,NoSQL,React.JS,SQL,False,False,https://justjoin.it/job-offer/pragmile-senior-javascript-engineer-warszawa-javascript
Team Lead Logistics & Procurement,29 000,33 000,PLN,Link Group,Wrocław,Analytical Thinking,ERP,SAP WM/MM,False,False,https://justjoin.it/job-offer/link-group-team-lead-logistics-procurement-wroclaw-erp
Software Engineer/Data Engineer,20 000,28 000,PLN,Link Group,Warszawa,SQL,.Net/Python,API,True,True,https://justjoin.it/job-offer/link-group-software-engineer-data-engineer-warszawa-data
Quantum Engineer,22 000,28 000,PLN,Link Group,Warszawa,Quantum,Python,,True,True,https://justjoin.it/job-offer/link-group-quantum-engineer-warszawa-python
Administrator systemów IT,9 600,14 400,PLN,SOFTIQ,Gliwice,Windows,Docker,Apache HTTPD,False,False,https://justjoin.it/job-offer/softiq-administrator-systemow-it-gliwice-admin-bc43cb72
Machine Learning Engineer (NLP) - mid/senior,23 000,33 000,PLN,Tidio,Szczecin,Deep Learning,NLP,LLM,True,True,https://justjoin.it/job-offer/tidio-machine-learning-engineer-nlp---mid-senior-szczecin-ai
Senior Fullstack Software Engineer,34 662,53 013,PLN,Kalepa,Warszawa,React,JS,Python,True,True,https://justjoin.it/job-offer/kalepa-senior-fullstack-software-engineer-warszawa-javascript
Senior Backend Engineer,34 662,53 013,PLN,Kalepa,Warszawa,Python,SQL,REST API,True,True,https://justjoin.it/job-offer/kalepa-senior-backend-data-engineer-warszawa-python
Android System Engineer,17 000,20 000,PLN,Gemius,Warszawa,Java,Kotlin,English,True,False,https://justjoin.it/job-offer/gemius-android-system-engineer-warszawa-mobile
Azure DevOps Engineer,23 520,30 240,PLN,ITLT,Warszawa,Azure DevOps,Microservices,Ansible,False,False,https://justjoin.it/job-offer/itlt-azure-devops-engineer-warszawa-devops
Vendor and Workforce Operations SME,25 200,29 160,PLN,Antal Sp. z o.o.,Kraków,OWASP,ISO 2700x,NIST,True,True,https://justjoin.it/job-offer/antal-sp-z-o-o--vendor-and-workforce-operations-sme-krakow-other
.NET Developer (remote),20 000,27 000,PLN,Antal Sp. z o.o.,Warszawa,.Net,English,Web API,True,True,https://justjoin.it/job-offer/antal-sp-z-o-o---net-developer-remote--warszawa-net
Business Analyst,16 200,24 300,PLN,Antal Sp. z o.o.,Kraków,Analiza Biznesowa,Angielski,Budowanie relacji,False,False,https://justjoin.it/job-offer/antal-sp-z-o-o--business-analyst-krakow-analytics-82985494
RPA/Power Apps Developer,20 000,26 000,PLN,BlueSoft,Warszawa,Power Automate,Power Platform,,True,True,https://justjoin.it/job-offer/bluesoft-rpa-power-apps-developer-warszawa-data
Hardware Engineer,16 000,30 000,PLN,HiQo Solutions,Kraków,Altium Designer,,,True,True,https://justjoin.it/job-offer/hiqo-solutions-hardware-engineer-krakow-c
Oracle Database Administrator,21 600,24 600,PLN,Raiffeisen Bank International AG,Warszawa,,,,True,True,https://justjoin.it/job-offer/raiffeisen-bank-international-ag-oracle-database-administrator-warszawa-admin-9b72b557
Processing System Application Admin,18 500,21 600,PLN,Raiffeisen Bank International AG,Warszawa,Linux,,,True,True,https://justjoin.it/job-offer/raiffeisen-bank-international-ag-processing-system-application-admin-warszawa-admin
Infrastructure Security Junior Specialist,6 000,12 000,PLN,POLSKIE ePŁATNOŚCI S.A.,Wrocław,Cryptography,,,True,True,https://justjoin.it/job-offer/polskie-eplatnosci-s-a-infrastructure-security-junior-specialist-wroclaw
CEPH Administrator,15 030,19 205,PLN,ITLT,Warszawa,Linux,Ceph,,False,True,https://justjoin.it/job-offer/itlt-ceph-administrator
Junior Fullstack Developer with React,6 000,10 000,PLN,Rumble Fish Software Development,Kraków,TypeScript,React,Redux,False,False,https://justjoin.it/job-offer/rumble-fish-software-development-junior-fullstack-developer-with-react-krakow-javascript
Software Engineer .NET,8 000,13 000,PLN,Cornerstone OnDemand,Kraków,.Net,,,False,True,https://justjoin.it/job-offer/cornerstone-ondemand-software-engineer-net-krakow-net
Product Support Specialist,8 000 PLN,,,Cornerstone OnDemand,Kraków,CRM,,,False,False,https://justjoin.it/job-offer/cornerstone-ondemand-product-support-specialist-krakow-support
Applied AI / Backend engineer - combine coding and the great outdoors 🏕️,206 531,258 164,PLN,Campy BV,Amsterdam,Python,Agents,AI,False,True,https://justjoin.it/job-offer/campy-bv-applied-ai-backend-engineer---combine-coding-and-the-great-outdoors--amsterdam-python
Full Stack React Native Engineer - combine coding and the great outdoors 🏕️,180 715,232 348,PLN,Campy BV,Amsterdam,React Native,TypeScript,Expo,False,True,https://justjoin.it/job-offer/campy-bv-full-stack-react-native-engineer---combine-coding-and-the-great-outdoors--amsterdam-mobile
Solution Architect (Azure),25 000,31 000,PLN,H2B Group,Gdańsk,Azure,SAML,oauth,True,True,https://justjoin.it/job-offer/h2b-group-solution-architect-azure--gdansk-architecture
iOS Developer,12 234,14 273,PLN,Axon,Kraków,RxSwift,iOS SDK,MVVM,True,True,https://justjoin.it/job-offer/axon-ios-developer-krakow-mobile
.NET Developer,13 000,20 000,PLN,March Networks Poland,Gliwice,.Net Framework,C#,WPF,False,False,https://justjoin.it/job-offer/march-networks-poland--net-developer-gliwice-net
Embedded Systems Consultant,21 840,26 880,PLN,Team Connect,Warszawa,FPGA,Embedded Systems,freeRTOS,False,False,https://justjoin.it/job-offer/team-connect-embedded-systems-consultant-warszawa-c
Back-end / Full-stack with C++,9 000,18 000,PLN,Motorola Solutions,Kraków,C++,JavaScript,Angular,False,False,https://justjoin.it/job-offer/motorola-solutions-back-end-full-stack-with-c--krakow-c
Senior/Lead Data Engineer,18 480,29 400,PLN,Spyrosoft,Warszawa,Apache Airflow,Git,SQL,False,False,https://justjoin.it/job-offer/spyrosoft-senior-lead-data-engineer-warszawa-data
Senior/Lead Python Developer,18 480,29 400,PLN,Spyrosoft,Warszawa,Python 3.x,Django,pytest,False,False,https://justjoin.it/job-offer/spyrosoft-senior-lead-python-developer-warszawa-python
Laravel PHP Developer,17 000,23 000,PLN,Monogo Sp. z o.o.,Warszawa,PHP 8,English,SOAP,True,True,https://justjoin.it/job-offer/monogo-sp-z-o-o--laravel-php-developer-warszawa-php
Mid SRE Engineer/Java Application Support Engineer,17 000,20 000,PLN,DCV Technologies,Warszawa,Kubernetes,Unix/Linux servers,,False,False,https://justjoin.it/job-offer/dcv-technologies-mid-sre-engineer-java-application-support-engineer-warszawa-devops
AI Engineer,20 000,30 200,PLN,Britenet,Warszawa,AI,Python,Docker,True,True,https://justjoin.it/job-offer/britenet-ai-engineer-warszawa-ai
Mid/Senior Data Engineer with GCP,23 000,26 800,PLN,Holisticon Insight,Wrocław,English,DBT,PySpark,False,True,https://justjoin.it/job-offer/holisticon-insight-mid-senior-data-engineer-with-gcp-wroclaw-data
Azure Data and Analytics Specialist,23 500,29 000,PLN,hubQuest,Warszawa,Azure DevOps,Python,,True,True,https://justjoin.it/job-offer/hubquest-azure-data-and-analytics-specialist-warszawa-data
Azure Data and Analytics Specialist,23 500,29 000,PLN,hubQuest,Warszawa,Databricks,SQL,,True,True,https://justjoin.it/job-offer/hubquest-azure-data-and-analytics-specialist-warszawa-python
Senior React Developer,27 000,33 500,PLN,j-labs,Kraków,TypeScript,CSS,React,False,False,https://justjoin.it/job-offer/j-labs-senior-react-developer-krakow-javascript
Delivery Manager / Scrum Master,15 000,22 400,PLN,Devopsbay,Gdańsk,Agile,Project Management,Microsoft,False,False,https://justjoin.it/job-offer/devopsbay-delivery-manager-scrum-master-gdansk-pm
Senior Java Backend Developer,28 545,32 623,PLN,DevsData LLC,Warszawa,Unit Testing,Java,,True,True,https://justjoin.it/job-offer/devsdata-llc-senior-java-backend-developer-warszawa-java
Senior AWS DevOps Engineer / Manager,18 480,26 880,PLN,ITFS,Warszawa,AWS,,,True,True,https://justjoin.it/job-offer/itfs-senior-aws-devops-engineer-manager-warszawa-devops
Senior .NET Developer -Smart City,19 000,24 000,PLN,Incubly,Łódź,CI/CD,REST API,Unit Testing,False,False,https://justjoin.it/job-offer/incubly-senior-net-developer--smart-city-lodz-net
Java Developer - Digital Trust,20 000,26 000,PLN,Incubly,Łódź,Git,Spring Boot,Java 8- 11+,False,False,https://justjoin.it/job-offer/incubly-java-developer---digital-trust-lodz-java
Senior Python Backend Engineer,31 920,49 560,PLN,Reef Technologies,Warszawa,Python,Backend,,True,True,https://justjoin.it/job-offer/reef-technologies-senior-python-backend-engineer-warszawa-python
